,intensity,mfcc_mean,mfcc_max,sc_mean,sc_std,sc_min,sc_max,sc_kur,sc_skew,stft_mean,stft_std,stft_min,stft_kur,kur,skew,emotion_positivity,length,zero_crossings_rate,vocal_channel,emotion,emotional_intensity,statement,repetition,actor,sex,channels,frame_width
0,0.09845671133180751,-1.0573396330380194,-1.05749896164829,0.7113650212423812,-0.06443913012382528,-1.0864538516615585,1.7034042409852193,0.0382047286007911,-0.2762604643256498,-0.7341940515060459,0.1751211169246314,-0.47041362832390726,0.1554009177343957,-0.27170749150326773,0.7066321735782927,-0.8432938073378378,-0.5937004313395723,1.6202769022536454,speech,fearful,normal,0,2nd,2.0,F,1,2
2,0.6313579075278757,-0.3952683784941671,-1.2973126682998044,-0.38783504141191716,-0.057416182885230246,-1.0864538516615585,0.1764509850276932,0.021814138498971906,0.25006853737822604,-1.1642336102631565,0.8792779017635511,-0.47041362832390726,0.02353258640098501,-0.9558858498420921,0.7715036813333453,1.5893607992414307,0.9676515754678173,0.9869863088842148,,happy,strong,0,2nd,16.0,F,1,2
3,-1.3485583839142716,-1.6342555321131769,-0.3518287650689692,0.23582107234785152,1.1858310450843967,-1.0864538516615585,0.2167323271583152,-0.6202615222023536,-0.7073274917037623,-0.8308053859562686,1.2277430632116193,-0.47041362832390726,-0.9322310746944612,0.2778037255231898,-0.07204623314122885,1.5893607992414307,-0.7608687404195927,0.031052226502851617,,surprised,normal,1,1st,14.0,F,1,2
4,0.758732001192181,-0.5910849426588801,-1.4635842588503423,-0.027529979504473393,0.13314258208261584,-1.0864538516615585,0.19419820188399425,-0.043493826183626065,0.4182775864736821,-0.7254261609234822,0.8113341815061768,-0.47041362832390726,-0.5611309217812777,-0.5621662300616366,1.0182170938974868,1.5893607992414307,0.5213121902241625,0.3163256971734803,song,happy,strong,0,2nd,2.0,F,1,2
5,0.15540605380088168,-0.3881905552213927,0.5577380312257064,-1.0502596278446377,0.8059209177483444,-1.0864538516615585,0.23163835595208246,0.0491065354958196,0.5858221260658151,-1.5287913901276362,0.584186152961039,-0.47041362832390726,0.7072408293273018,0.23783081218576402,0.16804272743820384,-0.8432938073378378,-0.8728715075032066,0.27441040510295484,speech,fearful,normal,0,2nd,,F,1,2
7,-1.357458778213705,-1.631794411516742,0.8155316401231586,1.0458258161872838,0.641628704471292,-1.0864538516615585,0.1687425964192931,-0.801471681432207,-1.3067011862794458,0.13884807085220116,-0.13140692021794023,-0.47041362832390726,-0.2835059341304436,0.013143515540440335,0.5707558713714347,0.37303349595179647,-1.0952053585796335,0.0887197983120781,speech,neutral,normal,0,2nd,,F,1,2
8,-0.9801295533387056,-1.1500137466745761,0.32502673600436266,1.3477047005835776,1.1185753223824413,-1.0864538516615585,0.24985831197625452,-0.8156321100306966,-1.1931804645087414,0.7170732800539559,-0.13118140882987891,-0.47041362832390726,-0.07098749829708641,-0.8986830296054296,-2.0143444941129087,0.37303349595179647,-0.5385348893431657,1.0435149943481419,speech,calm,normal,0,1st,12.0,F,1,2
13,-2.0262557177564355,-1.3567781392106,-1.7408475684918376,0.3553252004299856,-0.7311859737015768,-1.0864538516615585,0.19848724196434767,1.160544720632083,1.2537857370732048,0.23231803724971672,-0.6093025757767082,-0.47041362832390726,-0.05414626935234309,1.660273326439533,-1.8757860193805005,0.37303349595179647,0.6884804993041823,-0.16348077951066675,,calm,strong,1,1st,6.0,F,1,2
14,-0.7335454483664477,-2.116518826761711,-1.1648656197926535,-0.9662083043684814,0.08261325103653228,-1.0864538516615585,0.1773744718155972,0.7745790304469872,1.385199181252185,-1.5499677269251035,1.291092830397657,-0.47041362832390726,0.29240262747251594,-1.0327188437857031,-0.7105545424135502,-0.8432938073378378,1.5811592697914916,-0.11038980935501044,song,sad,normal,1,2nd,,F,1,2
15,0.24570739503906294,-0.8232839035739143,-0.8330144468243156,-0.24837801668825518,0.26116753376471097,-1.0864538516615585,0.2740890085488619,-0.0499185438774742,0.5800269131180764,-0.8107876005268727,0.9417268855879525,-0.47041362832390726,-0.45936649089035303,-0.7463405981275256,-0.1913681881120052,-0.8432938073378378,1.3036598767186574,-0.0741895276669608,song,sad,normal,1,2nd,12.0,F,1,2
